,CD_ESCOLA,MUN,NM_COMPLETO_ESCOLA,DS_ENDERECO,LATITUDE,LONGITUDE,NIVEL SOCIOECONOMICO DOS ALUNOS,CODESC,ANOS_FINAIS_var,ANOS_INICIAIS_var,ENSINO_MEDIO_var,CODIGO_CIE,ANOS_INICIAIS,ANOS_FINAIS,ENSINO_MEDIO
84,925251,SAO PAULO,DOM PAULO EVARISTO ARNS,CORACAO SELVAGEM,-23.5252822,-46.4722162,4.65,925251,,65.16129032258064,,925251,5.12,,
85,2689,SAO PAULO,EXERCITO BRASILEIRO,REBELO DA SILVA ,-23.5263,-46.4799,6.51,2689,,,19.078947368421055,2689,,,1.81
86,3189,SAO PAULO,ALFREDO MACHADO PEDROSA PROF,ANTONIO PREVIATO ,-23.6012943,-46.4825344,4.55,3189,,33.802816901408455,,3189,4.75,,
87,44301,SAO PAULO,ADOLPHO PLUSKAT PROF,CAFE DO BRASIL ,-23.4978875264128,-46.415065998950205,5.38,44301,,60.89385474860334,92.13483146067415,44301,5.76,,1.71
88,4042,SAO PAULO,HENRIQUE DUMONT VILLARES,AVENIDA PRESIDENTE ALTINO,-23.5452,-46.7511,4.84,4042,,44.38095238095238,,4042,7.58,,
89,37400,SAO PAULO,OSWALD DE ANDRADE,JOSE CARLOS DOS SANTOS MARQUES ,-23.692196595026303,-46.7602235901436,5.39,37400,,28.87700534759358,,37400,4.82,3.72,
90,901751,SAO PAULO,JOSE PORPHYRIO DA PAZ,JOSE ALVES DA SILVA ,-23.6978407845518,-46.7847111144333,4.53,901751,54.117647058823536,,169.3548387096774,901751,,2.62,1.67
91,36730,SAO PAULO,CARLOS AYRES PROF,BELMIRA MARIN DONA,-23.736,-46.6941,6.43,36730,63.07692307692309,,14.285714285714285,36730,,3.18,1.84
92,902287,SAO PAULO,IRMA CHARLITA,ADELIA DA SILVA MENDES ,-23.7528,-46.6803,4.84,902287,64.17112299465238,74.43609022556389,40.828402366863905,902287,4.64,3.07,2.38
93,901787,SAO PAULO,ITURBIDES BOLIVAR DE ALMEIDA SERRA PROF,PINEDO ,-23.671867043978896,-46.7157643730163,6.470000000000001,901787,,57.28643216080401,,901787,6.26,,
94,5712,FRANCO DA ROCHA,BENEDITO FAGUNDES MARQUES,AV DOS COQUEIROS,-23.332250550297697,-46.7271782438984,5.75,5712,37.71186440677967,,57.14285714285715,5712,,3.25,2.31
95,924398,SAO PAULO,JARDIM CANAA,ESTRADA CORONEL JOSE GLADIADOR,-23.4358,-46.7919,5.57,924398,,67.53246753246754,69.91869918699186,924398,5.16,,2.09
96,46243,SAO PAULO,FLAMINIO FAVERO PROFESSOR,AVENIDA GENERAL PENHA BRASIL,-23.4505,-46.6781,4.81,46243,24.870466321243534,145.52529182879377,76.74418604651163,46243,6.31,2.41,1.52
97,48598,SAO PAULO,PAULO TRAJANO DA SILVEIRA SANTOS PROFESSOR,PRAIA DO TUMIARU ,-23.4869,-46.7077,6.41,48598,,12.715517241379326,,48598,5.23,,
98,1570,SAO PAULO,ORESTES GUIMARAES,CANINDE,-23.5332439,-46.6240453,5.06,1570,12.149532710280363,81.02409638554217,64.96350364963502,1570,6.01,2.4,2.26
99,37734,SAO PAULO,ARLETE TEREZINHA PIZAO PROFA,RODRIGUES ALVARENGA ,-23.4833,-46.6511,6.85,37734,,6.748466257668713,,37734,5.22,,
100,44271,SAO PAULO,NAGIB IZAR,MONTE CARDOSO ,-23.567049215504998,-46.51440721167479,6.67,44271,,11.447084233261345,,44271,5.16,,
101,1485,SAO PAULO,GUERINO RASO,SERRA DA BOCAINA ,-23.5470022885358,-46.590319495832205,5.55,1485,,15.492957746478883,,1485,5.74,,
102,923576,SAO PAULO,MARIA DO CARMO CAMPOS FERREIRA DONA,GAGLIANO NETTO ,-23.681035357515697,-46.776701414958204,4.55,923576,,37.336814621409914,,923576,5.26,,
103,44398,SAO PAULO,ANTONIO BERNARDES DE OLIVEIRA PROFESSOR,JEAN MAROT ,-23.6884708404541,-46.7503318786621,5.22,44398,60.47904191616769,,35.91549295774648,44398,,2.68,1.93
104,37448,SAO PAULO,LAERTE RAMOS DE CARVALHO PROF DR,ANIBAL DOS ANJOS CARVALHO ,-23.7126,-46.6949,8.14,37448,28.143712574850312,,20.54263565891472,37448,,4.28,3.11
105,48033,SAO PAULO,MARIA DE LOURDES ALMEIDA SINISGALLI PROFA,AV. PROFESSOR HERMGENES DE FREITAS LEITAO,-23.8113,-46.7149,3.87,48033,20.00000000000001,,53.2258064516129,48033,,2.46,1.9
106,925482,FRANCO DA ROCHA,ZILTON BICUDO PROF,R PERI,-23.2988,-46.707,3.8200000000000003,925482,55.494505494505496,,0.0,925482,,2.83,1.27
107,5685,MAIRIPORA,HERMELINA DE ALBUQUERQUE PASSARELLA PROFA,AV TABELIAO PASSARELLA,-23.318929557377402,-46.5885785423279,6.5600000000000005,5685,28.865979381443292,,24.102564102564102,5685,,3.75,2.42
108,39445,MAIRIPORA,OZILDE ALBUQUERQUE PASSARELLA DR,AV DAS CAVIUNAS,-23.384756272811998,-46.632970903110504,5.24,39445,22.00772200772202,,41.50943396226414,39445,,3.16,2.25
109,6221,GUARULHOS,JOAO ALVARES DE SIQUEIRA BUENO,ANTONIO PEREIRA DA SILVA CABO,-23.468229171828998,-46.5530229005249,5.25,6221,32.23140495867769,,,6221,,3.2,
110,924337,ITAI,SANDRA APARECIDA DE ARAUJO PROFESSORA,RUA JOAQUIM TAVARES DOS SANTOS,-23.4119,-49.1022,1.6899999999999995,924337,7.547169811320741,,,924337,,2.28,2.47
111,14886,BOTUCATU,JOSE PEDRETTI NETTO PROF,VEIGA RUSSO ,-22.883447647094698,-48.4360885620117,6.29,14886,48.85057471264367,,-11.764705882352938,14886,,2.59,1.5
112,16615,TORRE DE PEDRA,RENATO ANGELINI PROF,RUA ATALIBA COSTA AVILA,-23.247,-48.1958,4.79,16615,80.86956521739133,,100.53475935828875,16615,,4.16,3.75
113,36912,ALAMBARI,EDUARDO SOARES PROF,IDIARTE MACIEL,-23.551691793718298,-47.895231006854296,4.33,36912,25.600000000000005,,11.60220994475138,36912,,3.14,2.02
114,15143,ITAPETININGA,DARCY VIEIRA,FRANCISCO RODRIGUES JUNIOR ,-23.5998591226669,-48.0514757259033,4.63,15143,71.21212121212122,,14.583333333333348,15143,,3.39,2.2
115,43394,ITAPETININGA,JOSE DA CONCEICAO HOLTZ PROF,RUA FRANCISCO ALMEIDA MELO,-23.7691,-48.1303,3.49,43394,34.169278996865216,,102.99401197604791,43394,,4.28,3.39
116,15118,CAPAO BONITO,ARLINDO VIEIRA PADRE,RUA CAMPOS SALLES,-23.9983,-48.3513,4.35,15118,,,102.45098039215685,15118,,,4.13
117,39743,CABREUVA,HELADIO CORREA LAURINI MONSENHOR,RUA DAS PALMEIRAS,-23.2995312834597,-47.1403303742409,4.8,39743,21.36752136752137,,76.68711656441718,39743,,4.26,2.88
118,16056,IBIUNA,LAURINDA VIEIRA PINTO PROFESSORA,RUA VENEZUELA,-23.6597,-47.2123,4.64,16056,22.58064516129032,,10.843373493975886,16056,,3.42,2.76
119,16081,MAIRINQUE,ALTINA JULIA DE OLIVEIRA PROFESSORA,AVENIDA LAMARTINE NAVARRO,-23.5496,-47.1835,5.89,16081,,,-7.251908396946563,16081,,,2.43
120,903243,MAIRINQUE,ESTACAO DONA CATARINA,RUA SANTA CATARINA ,-23.4266,-47.2413,4.83,903243,,,40.425531914893604,903243,,,3.3
121,16147,SOROCABA,PORTO SEGURO VISCONDE DE,SOUZA PEREIRA ,-23.4996,-47.4535,7.5,16147,,,,16147,,4.57,
122,17224,AMERICANA,JOAO XXIII,CAXIAS DUQUE,-22.7504,-47.3285,8.18,17224,,,72.16117216117217,17224,,,4.7
123,18594,CAMPINAS,JULIO MESQUITA,RUA DANIEL CESARIO DE ANDRADE,-22.933071160419697,-47.0484329423279,8.44,18594,11.34328358208955,,20.06920415224914,18594,,3.73,3.47
124,911744,CAMPINAS,ROSINA FRAZATTO DOS SANTOS PROFESSORA,NIVALDO ALVES BONILHA ,-22.937909687459896,-47.1352363973755,2.7800000000000002,911744,,85.40925266903913,,911744,5.21,,
125,911744,CAMPINAS,ROSINA FRAZATTO DOS SANTOS PROFESSORA,RUA REVERENDO JOSE COELHO FERRAZ,-22.9379047472184,-47.1352203041214,2.7800000000000002,911744,,85.40925266903913,,911744,5.21,,
126,917758,CAMPINAS,DISNEI FRANCISCO SCORNAIENCHI DOUTOR,RUA EDMUNDO VOSGRAU,-22.9593420054192,-47.0529871753937,7.16,917758,28.43450479233226,-6.866197183098587,16.28959276018099,917758,5.29,4.02,2.57
127,913078,JUNDIAI,BENEDICTO LOSCHI,SANTO CEOLIN ,-23.1237,-46.9352,6.8100000000000005,913078,25.87859424920128,,,913078,,3.94,
128,925780,LIMEIRA,TARCISIO ARIOVALDO AMARAL DOM,AVENIDA DOUTOR ANTONIO DE LUNA,-22.604679107666,-47.4150238037109,3.4000000000000004,925780,8.133971291866025,,,925780,,2.26,
129,17590,ITAPIRA,ANTONIO CAIO,RUA MAJOR JOAO MANOEL,-22.4449628146623,-46.827448279762294,7.13,17590,-0.8982035928143655,,23.3695652173913,17590,,3.31,2.27
130,288408,FRANCISCO MORATO,CHACARA CAMPONESA JARDIM VASSOURAS,RUA SAO DOMINGOS COM HAWAI,-23.2801197106665,-46.729807288360604,4.32,288408,52.659574468085125,,26.771653543307096,288408,,2.87,1.61
131,5861,GUARULHOS,JOSE SCARAMELLI PROFESSOR,PALMEIRAS ,-23.4725448,-46.54232329999999,6.390000000000001,5861,17.123287671232877,,53.80434782608695,5861,,3.42,2.83
132,6129,GUARULHOS,FRANCISCA BATISTA TRINDADE PROFESSORA,RUA PAULO JOSE BAZZANI,-23.466558399999997,-46.5172743,6.88,6129,,-2.3648648648648596,,6129,5.78,,
