CodigoCIE,CodigoINEP,CodigoDiretoria,NomeDiretoria,NomeEscola,NomeMunicipio,NivelEnsino,Ano2011,Ano2012,Ano2013,Ano2014,Ano2015,Ano2016,Ano2017
32050,35032050,20904,PRESIDENTE PRUDENTE,FLORIVALDO LEAL                                             ,PRESIDENTE PRUDENTE,EM,2.06,1.93,2.4,1.67,2.3,2.33,2.65
47405,35047405,20501,ARARAQUARA,LYSANIAS DE OLIVEIRA CAMPOS PROF                            ,ARARAQUARA,EM,3.52,2.98,2.71,2.47,3.05,3.9,2.35
907510,35907510,20411,PIRASSUNUNGA,RENE ALBERS PROFESSOR DOUTOR                                ,PIRASSUNUNGA,EM,1.09,1.74,2.05,1.87,1.59,2.33,1.18
564990,35564990,20417,CAMPINAS LESTE,VILA OLIMPIA                                                ,CAMPINAS,EM,,,,,1.21,1.33,1.61
904296,35904296,10211,LESTE 3,MARIUMA BUAZAR MAUAD                                        ,SAO PAULO,EM,1.55,1.48,1.37,0.97,0.68,1.44,1.21
917761,35917761,20408,LIMEIRA,ALBERTO FIERZ,COSMOPOLIS,EM,,,,,,,3.26
565040,35565040,21004,OURINHOS,JARDIM ITAMARATY                                            ,OURINHOS,EM,,,,,2.79,1.92,2.55
907406,35907406,20404,CAMPINAS OESTE,MARIA DE LOURDES CAMPOS FREIRE MARQUES PROFESSORA           ,CAMPINAS,EM,2.29,2.23,2.29,2.51,2.1,2.48,2.31
910181,35910181,10503,ITAQUAQUECETUBA,MARIO MARTINS PEREIRA                                       ,ITAQUAQUECETUBA,EM,1.1,0.87,0.93,1.03,2.26,1.72,1.19
923394,35923394,20404,CAMPINAS OESTE,NUCLEO HABITACIONAL VIDA NOVA BAIRRO MAURO MARCONDES        ,CAMPINAS,EM,1.15,1.18,0.89,0.97,1.52,0.89,1.69
43588,35043588,20510,SAO JOAQUIM DA BARRA,GRAZIELA MALHEIRO FORTES PROFESSORA                         ,SAO JOAQUIM DA BARRA,EM,,2.42,3.15,,,,
913522,35913522,20301,APIAI,JAIME DE OLIVEIRA PROF                                      ,BARRA DO CHAPEU,EM,1.27,2.54,1.44,3.67,4.29,4.51,3.03
905288,35905288,20304,ITAPETININGA,JOSE BALTAZAR DE SOUZA                                      ,SAO MIGUEL ARCANJO,EM,2.18,2.25,2.02,2.21,2.99,2.42,2.06
901003,35901003,20601,BAURU,ANTONIO FERREIRA DE MENEZES VEREADOR                        ,BAURU,EM,1.43,2.01,1.49,1.78,1.58,1.39,1.13
913424,35913424,10702,ITAPECERICA DA SERRA,ELIANA FISCHER BAMBI DELFINO PINTO PROFESSORA               ,JUQUITIBA,EM,2.7,2.19,1.49,2.48,2.8,1.74,2.99
900679,35900679,20504,FRANCA,SUELY MACHADO DA SILVA PROFA                                ,FRANCA,EM,1.98,1.9,1.8,2.2,,2.92,2.18
901076,35901076,20411,PIRASSUNUNGA,CARLOTA FERNANDES DE SOUZA RODINI                           ,ARARAS,EM,3.11,3.27,2.24,2.66,2.61,2.49,2.68
911252,35911252,20504,FRANCA,ADELINA PASQUINO CASSIS PROFA                               ,FRANCA,EM,1.75,1.97,1.83,2.16,3.1,2.92,2.74
904181,35904181,10702,ITAPECERICA DA SERRA,MARIO FRANCISCO DE AMORIM                                   ,EMBU-GUACU,EM,1.78,1.29,1.29,2,2.07,2.13,2.45
902724,35902724,10211,LESTE 3,FERNANDO MAURO PIRES DA ROCHA DEPUTADO                      ,SAO PAULO,EM,0.91,0.7,0.45,0.46,1.22,1.33,1.47
902755,35902755,10704,OSASCO,JOSE JORGE PROFESSOR                                        ,OSASCO,EM,2.51,1.52,1.69,2.08,1.6,2.49,2.53
909075,35909075,10208,LESTE 4,WILFREDO PINHEIRO PROF                                      ,SAO PAULO,EM,1.35,1.05,0.87,1.33,,1.64,1.61
901222,35901222,20407,JUNDIAI,ZULMIRO ALVES DE SIQUEIRA                                   ,JARINU,EM,1.72,1.57,1.85,1.57,2.93,1.5,2.3
33017,35033017,21001,ASSIS,JOSE GONCALVES DE MENDONCA                                  ,MARACAI,EM,1.52,2.42,2.53,2.12,2.65,2.67,2.1
48461,35048461,20408,LIMEIRA,ARLINDO SILVESTRE PROFESSOR                                 ,LIMEIRA,EM,1.81,2.45,1.87,,3.61,4.16,3.86
908373,35908373,10314,SUL 2,MAUD SA DE MIRANDA MONTEIRO PROFESSORA                      ,SAO PAULO,EM,1.91,1.63,2.02,1.85,3.14,2.66,3.23
901507,35901507,20202,GUARATINGUETA,AROLDO AZEVEDO PROF                                         ,LORENA,EM,1.77,2.12,1.05,1.37,1.62,2.31,1.62
905012,35905012,20103,SAO VICENTE,PAULO DE ARRUDA PENTEADO PROFESSOR                          ,SAO VICENTE,EM,1.88,1.77,1.44,1.62,2.45,2.52,2.99
919111,35919111,20804,PENAPOLIS,JOANA HELENA DE CASTILHO MARQUES PROFESSORA                 ,PENAPOLIS,EM,,2.14,1.13,2.07,2.64,1.56,2.57
901271,35901271,20407,JUNDIAI,ODILON LEITE FERRAZ                                         ,LOUVEIRA,EM,2.14,2.78,2.32,2.5,2.87,2.28,2.64
908228,35908228,20306,ITU,ESTACAO GEORGE OETTERER                                     ,IPERO,EM,1.73,1.86,2.12,1.6,2.46,2.74,2.6
916717,35916717,21102,REGISTRO,PERICLES EUGENIO DA SILVA RAMOS PROFESSOR                   ,CANANEIA,EM,2.76,2.97,1.64,2.12,3.23,3.15,2.3
925469,35925469,10317,SUL 1,MARIA ZILDA GAMBA NATEL                                     ,SAO PAULO,EM,1.53,1.05,1.63,1.39,,1.69,1.72
46197,35046197,10502,SUZANO,CHOJIRO SEGAWA                                              ,SUZANO,EM,1.38,1.22,1.3,1.75,2.18,2.06,1.72
915683,35915683,10207,LESTE 1,JARDIM DAS CAMELIAS                                         ,SAO PAULO,EM,1.07,1.85,0.91,1.28,2.09,1.79,1.62
905604,35905604,20419,CAPIVARI,MARIA JOSE DE AGUIAR ZEPPELINI PROFESSORA                   ,RIO DAS PEDRAS,EM,1.73,2.76,2.18,2.1,2.74,2.47,3.19
901885,35901885,10502,SUZANO,LEDA FERNANDES LOPES PROFESSORA                             ,SUZANO,EM,1.7,1.32,2.15,1.74,2.07,3.22,3.41
914460,35914460,20206,TAUBATE,MIGUEL PISTILLI                                             ,TAUBATE,EM,2.16,1.88,1.71,1.61,2.58,2.62,1.65
901684,35901684,10101,NORTE 1,EDUARDO GOMES BRIGADEIRO COHAB                              ,SAO PAULO,EM,1.33,0.9,0.89,1.14,1.41,1.54,1.75
901386,35901386,20103,SAO VICENTE,ANTONIO NUNES LOPES DA SILVA PROFESSOR                      ,PRAIA GRANDE,EM,1.32,1.41,1.17,1.37,1.65,1.6,1.73
911276,35911276,20504,FRANCA,MICHEL HABER PROF                                           ,FRANCA,EM,1.45,1.71,1.77,1.81,2.26,1.77,2.35
910685,35910685,10702,ITAPECERICA DA SERRA,ANTONIO BALDUSCO PREFEITO                                   ,SAO LOURENCO DA SERRA,EM,2.03,2.05,1.39,1.15,2.64,2.95,2.64
904351,35904351,10401,CAIEIRAS,ALBINO FIORE                                                ,CAIEIRAS,EM,1.56,1.78,1.54,1.36,1.53,1.41,1.69
903097,35903097,20103,SAO VICENTE,RUBENS PAIVA DEPUTADO                                       ,PRAIA GRANDE,EM,0.75,2.06,1.09,1.71,2.16,2.27,2.65
